json_idx,ref_column,column_name,sample_data_1,suggested_themes,exclusion_reason
1,uid,uid,s:20~l:28~e:401131037,uncategorized,uid$
10,competitions.0.uid,uid,s:20~l:28~e:401131037~c:401131037,uncategorized,uid$
13,competitions.0.type.id,type_id,14,uncategorized,\btype.id\b
27,competitions.0.competitors.0.uid,uid_home,s:20~l:28~t:34,matchups,uid$
33,competitions.0.competitors.0.team.uid,team_uid_home,s:20~l:28~t:34,matchups,uid$
43,competitions.0.competitors.0.team.links.0.rel.0,team_links_rel_home,clubhouse,matchups,\blinks\b
44,competitions.0.competitors.0.team.links.0.rel.1,team_links_rel_home,desktop,matchups,\blinks\b
45,competitions.0.competitors.0.team.links.0.rel.2,team_links_rel_home,team,matchups,\blinks\b
46,competitions.0.competitors.0.team.links.0.href,team_links_href_home,https://www.espn.com/nfl/team/_/name/hou/housto...,matchups,\.href$
47,competitions.0.competitors.0.team.links.0.text,team_links_text_home,Clubhouse,matchups,\blinks\b
48,competitions.0.competitors.0.team.links.0.isExternal,team_links_isExternal_home,FALSE,matchups,\blinks\b
49,competitions.0.competitors.0.team.links.0.isPremium,team_links_isPremium_home,FALSE,matchups,\blinks\b
50,competitions.0.competitors.0.team.links.1.rel.0,team_links_rel_home,roster,matchups,\blinks\b
51,competitions.0.competitors.0.team.links.1.rel.1,team_links_rel_home,desktop,matchups,\blinks\b
52,competitions.0.competitors.0.team.links.1.rel.2,team_links_rel_home,team,matchups,\blinks\b
53,competitions.0.competitors.0.team.links.1.href,team_links_href_home,https://www.espn.com/nfl/team/roster/_/name/hou...,matchups,\.href$
54,competitions.0.competitors.0.team.links.1.text,team_links_text_home,Roster,matchups,\blinks\b
55,competitions.0.competitors.0.team.links.1.isExternal,team_links_isExternal_home,FALSE,matchups,\blinks\b
56,competitions.0.competitors.0.team.links.1.isPremium,team_links_isPremium_home,FALSE,matchups,\blinks\b
57,competitions.0.competitors.0.team.links.2.rel.0,team_links_rel_home,stats,matchups,\blinks\b
58,competitions.0.competitors.0.team.links.2.rel.1,team_links_rel_home,desktop,matchups,\blinks\b
59,competitions.0.competitors.0.team.links.2.rel.2,team_links_rel_home,team,matchups,\blinks\b
60,competitions.0.competitors.0.team.links.2.href,team_links_href_home,https://www.espn.com/nfl/team/stats/_/name/hou/...,matchups,\.href$
61,competitions.0.competitors.0.team.links.2.text,team_links_text_home,Statistics,matchups,\blinks\b
62,competitions.0.competitors.0.team.links.2.isExternal,team_links_isExternal_home,FALSE,matchups,\blinks\b
63,competitions.0.competitors.0.team.links.2.isPremium,team_links_isPremium_home,FALSE,matchups,\blinks\b
64,competitions.0.competitors.0.team.links.3.rel.0,team_links_rel_home,schedule,matchups,\blinks\b
65,competitions.0.competitors.0.team.links.3.rel.1,team_links_rel_home,desktop,matchups,\blinks\b
66,competitions.0.competitors.0.team.links.3.rel.2,team_links_rel_home,team,matchups,\blinks\b
67,competitions.0.competitors.0.team.links.3.href,team_links_href_home,https://www.espn.com/nfl/team/schedule/_/name/hou,matchups,\.href$
68,competitions.0.competitors.0.team.links.3.text,team_links_text_home,Schedule,matchups,\blinks\b
69,competitions.0.competitors.0.team.links.3.isExternal,team_links_isExternal_home,FALSE,matchups,\blinks\b
70,competitions.0.competitors.0.team.links.3.isPremium,team_links_isPremium_home,FALSE,matchups,\blinks\b
74,competitions.0.competitors.0.linescores.0.displayValue,linescores_displayValue_P1_home,0,"stats/data, matchups, score/wins",\.displayValue$
75,competitions.0.competitors.0.linescores.0.period,linescores_period_P1_home,1,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
77,competitions.0.competitors.0.linescores.1.displayValue,linescores_displayValue_P2_home,0,"stats/data, matchups, score/wins",\.displayValue$
78,competitions.0.competitors.0.linescores.1.period,linescores_period_P2_home,2,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
80,competitions.0.competitors.0.linescores.2.displayValue,linescores_displayValue_P3_home,8,"stats/data, matchups, score/wins",\.displayValue$
81,competitions.0.competitors.0.linescores.2.period,linescores_period_P3_home,3,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
83,competitions.0.competitors.0.linescores.3.displayValue,linescores_displayValue_P4_home,11,"stats/data, matchups, score/wins",\.displayValue$
84,competitions.0.competitors.0.linescores.3.period,linescores_period_P4_home,4,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
86,competitions.0.competitors.0.linescores.4.displayValue,linescores_displayValue_P5_home,3,"stats/data, matchups, score/wins",\.displayValue$
87,competitions.0.competitors.0.linescores.4.period,linescores_period_P5_home,5,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
88,competitions.0.competitors.0.records.0.name,records_name_home,overall,matchups,\brecords\b
89,competitions.0.competitors.0.records.0.abbreviation,records_abbreviation_home,Any,"matchups, marketing",\brecords\b
90,competitions.0.competitors.0.records.0.type,records_type_home,total,matchups,\brecords\b
91,competitions.0.competitors.0.records.0.summary,records_summary_home,10-6,matchups,\brecords\b
92,competitions.0.competitors.0.records.1.name,records_name_home,Home,matchups,\brecords\b
93,competitions.0.competitors.0.records.1.type,records_type_home,home,matchups,\brecords\b
94,competitions.0.competitors.0.records.1.summary,records_summary_home,5-3,matchups,\brecords\b
95,competitions.0.competitors.0.records.2.name,records_name_home,Road,matchups,\brecords\b
96,competitions.0.competitors.0.records.2.type,records_type_home,road,matchups,\brecords\b
97,competitions.0.competitors.0.records.2.summary,records_summary_home,5-3,matchups,\brecords\b
99,competitions.0.competitors.1.uid,uid_away,s:20~l:28~t:2,matchups,uid$
105,competitions.0.competitors.1.team.uid,team_uid_away,s:20~l:28~t:2,matchups,uid$
115,competitions.0.competitors.1.team.links.0.rel.0,team_links_rel_away,clubhouse,matchups,\blinks\b
116,competitions.0.competitors.1.team.links.0.rel.1,team_links_rel_away,desktop,matchups,\blinks\b
117,competitions.0.competitors.1.team.links.0.rel.2,team_links_rel_away,team,matchups,\blinks\b
118,competitions.0.competitors.1.team.links.0.href,team_links_href_away,https://www.espn.com/nfl/team/_/name/buf/buffal...,matchups,\.href$
119,competitions.0.competitors.1.team.links.0.text,team_links_text_away,Clubhouse,matchups,\blinks\b
120,competitions.0.competitors.1.team.links.0.isExternal,team_links_isExternal_away,FALSE,matchups,\blinks\b
121,competitions.0.competitors.1.team.links.0.isPremium,team_links_isPremium_away,FALSE,matchups,\blinks\b
122,competitions.0.competitors.1.team.links.1.rel.0,team_links_rel_away,roster,matchups,\blinks\b
123,competitions.0.competitors.1.team.links.1.rel.1,team_links_rel_away,desktop,matchups,\blinks\b
124,competitions.0.competitors.1.team.links.1.rel.2,team_links_rel_away,team,matchups,\blinks\b
125,competitions.0.competitors.1.team.links.1.href,team_links_href_away,https://www.espn.com/nfl/team/roster/_/name/buf...,matchups,\.href$
126,competitions.0.competitors.1.team.links.1.text,team_links_text_away,Roster,matchups,\blinks\b
127,competitions.0.competitors.1.team.links.1.isExternal,team_links_isExternal_away,FALSE,matchups,\blinks\b
128,competitions.0.competitors.1.team.links.1.isPremium,team_links_isPremium_away,FALSE,matchups,\blinks\b
129,competitions.0.competitors.1.team.links.2.rel.0,team_links_rel_away,stats,matchups,\blinks\b
130,competitions.0.competitors.1.team.links.2.rel.1,team_links_rel_away,desktop,matchups,\blinks\b
131,competitions.0.competitors.1.team.links.2.rel.2,team_links_rel_away,team,matchups,\blinks\b
132,competitions.0.competitors.1.team.links.2.href,team_links_href_away,https://www.espn.com/nfl/team/stats/_/name/buf/...,matchups,\.href$
133,competitions.0.competitors.1.team.links.2.text,team_links_text_away,Statistics,matchups,\blinks\b
134,competitions.0.competitors.1.team.links.2.isExternal,team_links_isExternal_away,FALSE,matchups,\blinks\b
135,competitions.0.competitors.1.team.links.2.isPremium,team_links_isPremium_away,FALSE,matchups,\blinks\b
136,competitions.0.competitors.1.team.links.3.rel.0,team_links_rel_away,schedule,matchups,\blinks\b
137,competitions.0.competitors.1.team.links.3.rel.1,team_links_rel_away,desktop,matchups,\blinks\b
138,competitions.0.competitors.1.team.links.3.rel.2,team_links_rel_away,team,matchups,\blinks\b
139,competitions.0.competitors.1.team.links.3.href,team_links_href_away,https://www.espn.com/nfl/team/schedule/_/name/buf,matchups,\.href$
140,competitions.0.competitors.1.team.links.3.text,team_links_text_away,Schedule,matchups,\blinks\b
141,competitions.0.competitors.1.team.links.3.isExternal,team_links_isExternal_away,FALSE,matchups,\blinks\b
142,competitions.0.competitors.1.team.links.3.isPremium,team_links_isPremium_away,FALSE,matchups,\blinks\b
146,competitions.0.competitors.1.linescores.0.displayValue,linescores_displayValue_P1_away,7,"stats/data, matchups, score/wins",\.displayValue$
147,competitions.0.competitors.1.linescores.0.period,linescores_period_P1_away,1,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
149,competitions.0.competitors.1.linescores.1.displayValue,linescores_displayValue_P2_away,6,"stats/data, matchups, score/wins",\.displayValue$
150,competitions.0.competitors.1.linescores.1.period,linescores_period_P2_away,2,"stats/data, matchups, score/wins",\.linescores\.\d+\.period$
152,competitions.0.competitors.1.linescores.2.displayValue,linescores_displayValue_P3_away,3,"stats/data, matchups, score/wins",\.displayValue$
