json_idx,json_L1,json_L2,json_L3,json_L4,json_L5,json_L6,json_L7,json_L8,json_L9,json_L10,json_L11,ref_column,column_name,include_YN,sample_data_1,sample_data_2,sample_data_3,suggested_themes
0,id,,,,,,,,,,,id,id,Y,401131037,401220116,401671762,CORE
1,uid,,,,,,,,,,,uid,uid,N,s:20~l:28~e:401131037,s:20~l:28~e:401220116,s:20~l:28~e:401671762,uncategorized
12,competitions,0,attendance,,,,,,,,,competitions.0.attendance,attendance,Y,71699,0,69496,CORE
14,competitions,0,type,abbreviation,,,,,,,,competitions.0.type.abbreviation,type_abbreviation,Y,RD16,STD,STD,CORE
41,competitions,0,competitors,0,team,isActive,,,,,,competitions.0.competitors.0.team.isActive,team_isActive_home,Y,TRUE,TRUE,TRUE,CORE
113,competitions,0,competitors,1,team,isActive,,,,,,competitions.0.competitors.1.team.isActive,team_isActive_away,Y,TRUE,TRUE,TRUE,CORE
247,competitions,0,format,regulation,periods,,,,,,,competitions.0.format.regulation.periods,format_regulation_periods,Y,4,4,4,CORE
16,competitions,0,neutralSite,,,,,,,,,competitions.0.neutralSite,neutralSite,Y,FALSE,FALSE,FALSE,CORE
32,competitions,0,competitors,0,team,id,,,,,,competitions.0.competitors.0.team.id,team_id_home,N,34,2,24,CORE
9,competitions,0,id,,,,,,,,,competitions.0.id,id_dup1,N,401131037,401220116,401671762,CORE
10,competitions,0,uid,,,,,,,,,competitions.0.uid,uid_dup1,N,s:20~l:28~e:401131037~c:401131037,s:20~l:28~e:401220116~c:401220116,s:20~l:28~e:401671762~c:401671762,uncategorized
11,competitions,0,date,,,,,,,,,competitions.0.date,date_dup1,N,2020-01-04T21:35Z,2020-09-13T17:00Z,2024-12-15T21:25Z,time
20,competitions,0,venue,id,,,,,,,,competitions.0.venue.id,venue_id,Y,3891,3883,7065,venue
13,competitions,0,type,id,,,,,,,,competitions.0.type.id,type_id,N,14,1,1,uncategorized
21,competitions,0,venue,fullName,,,,,,,,competitions.0.venue.fullName,venue_fullName,Y,NRG Stadium,Highmark Stadium,SoFi Stadium,venue
15,competitions,0,timeValid,,,,,,,,,competitions.0.timeValid,timeValid,N,TRUE,TRUE,TRUE,time
22,competitions,0,venue,address,city,,,,,,,competitions.0.venue.address.city,venue_address_city,Y,Houston,Orchard Park,Inglewood,venue
17,competitions,0,conferenceCompetition,,,,,,,,,competitions.0.conferenceCompetition,conferenceCompetition,N,FALSE,FALSE,FALSE,matchups
23,competitions,0,venue,address,state,,,,,,,competitions.0.venue.address.state,venue_address_state,Y,TX,NY,CA,venue
19,competitions,0,recent,,,,,,,,,competitions.0.recent,recent,N,FALSE,FALSE,FALSE,uncategorized
24,competitions,0,venue,address,country,,,,,,,competitions.0.venue.address.country,venue_address_country,Y,USA,USA,USA,venue
25,competitions,0,venue,indoor,,,,,,,,competitions.0.venue.indoor,venue_indoor,Y,TRUE,FALSE,TRUE,venue
42,competitions,0,competitors,0,team,venue,id,,,,,competitions.0.competitors.0.team.venue.id,team_venue_id_home,Y,3891,3883,538,venue
114,competitions,0,competitors,1,team,venue,id,,,,,competitions.0.competitors.1.team.venue.id,team_venue_id_away,Y,3883,3839,3886,venue
3,name,,,,,,,,,,,name,name,Y,Buffalo Bills at Houston Texans,New York Jets at Buffalo Bills,Tampa Bay Buccaneers at Los Angeles Chargers,team_attributes
4,shortName,,,,,,,,,,,shortName,shortName,Y,BUF @ HOU,NYJ @ BUF,TB @ LAC,team_attributes
36,competitions,0,competitors,0,team,abbreviation,,,,,,competitions.0.competitors.0.team.abbreviation,team_abbreviation_home,Y,HOU,BUF,LAC,team_attributes
27,competitions,0,competitors,0,uid,,,,,,,competitions.0.competitors.0.uid,uid_home,N,s:20~l:28~t:34,s:20~l:28~t:2,s:20~l:28~t:24,matchups
28,competitions,0,competitors,0,type,,,,,,,competitions.0.competitors.0.type,type_home,N,team,team,team,matchups
29,competitions,0,competitors,0,order,,,,,,,competitions.0.competitors.0.order,order_home,N,0,0,0,matchups
37,competitions,0,competitors,0,team,displayName,,,,,,competitions.0.competitors.0.team.displayName,team_displayName_home,Y,Houston Texans,Buffalo Bills,Los Angeles Chargers,team_attributes
38,competitions,0,competitors,0,team,shortDisplayName,,,,,,competitions.0.competitors.0.team.shortDisplayName,team_shortDisplayName_home,Y,Texans,Bills,Chargers,team_attributes
39,competitions,0,competitors,0,team,color,,,,,,competitions.0.competitors.0.team.color,team_color_home,Y,00133F,04407F,0080c6,team_attributes
33,competitions,0,competitors,0,team,uid,,,,,,competitions.0.competitors.0.team.uid,team_uid_home,N,s:20~l:28~t:34,s:20~l:28~t:2,s:20~l:28~t:24,matchups
40,competitions,0,competitors,0,team,alternateColor,,,,,,competitions.0.competitors.0.team.alternateColor,team_alternateColor_home,Y,c41230,d50a0a,ffc20e,team_attributes
71,competitions,0,competitors,0,team,logo,,,,,,competitions.0.competitors.0.team.logo,team_logo_home,Y,https://a.espncdn.com/i/teamlogos/nfl/500/score...,https://a.espncdn.com/i/teamlogos/nfl/500/score...,https://a.espncdn.com/i/teamlogos/nfl/500/score...,team_attributes
108,competitions,0,competitors,1,team,abbreviation,,,,,,competitions.0.competitors.1.team.abbreviation,team_abbreviation_away,Y,BUF,NYJ,TB,team_attributes
109,competitions,0,competitors,1,team,displayName,,,,,,competitions.0.competitors.1.team.displayName,team_displayName_away,Y,Buffalo Bills,New York Jets,Tampa Bay Buccaneers,team_attributes
110,competitions,0,competitors,1,team,shortDisplayName,,,,,,competitions.0.competitors.1.team.shortDisplayName,team_shortDisplayName_away,Y,Bills,Jets,Buccaneers,team_attributes
111,competitions,0,competitors,1,team,color,,,,,,competitions.0.competitors.1.team.color,team_color_away,Y,04407F,174032,bd1c36,team_attributes
112,competitions,0,competitors,1,team,alternateColor,,,,,,competitions.0.competitors.1.team.alternateColor,team_alternateColor_away,Y,d50a0a,ffffff,3e3a35,team_attributes
143,competitions,0,competitors,1,team,logo,,,,,,competitions.0.competitors.1.team.logo,team_logo_away,Y,https://a.espncdn.com/i/teamlogos/nfl/500/score...,https://a.espncdn.com/i/teamlogos/nfl/500/score...,https://a.espncdn.com/i/teamlogos/nfl/500/score...,team_attributes
26,competitions,0,competitors,0,id,,,,,,,competitions.0.competitors.0.id,id_home,Y,34,2,24,team_attributes
43,competitions,0,competitors,0,team,links,0,rel,0,,,competitions.0.competitors.0.team.links.0.rel.0,team_links_rel_home,N,clubhouse,clubhouse,clubhouse,matchups
44,competitions,0,competitors,0,team,links,0,rel,1,,,competitions.0.competitors.0.team.links.0.rel.1,team_links_rel_home_dup1,N,desktop,desktop,desktop,matchups
45,competitions,0,competitors,0,team,links,0,rel,2,,,competitions.0.competitors.0.team.links.0.rel.2,team_links_rel_home_dup2,N,team,team,team,matchups
